#{"t_start": 1785075572.7300797, "env_id": "None"}
r,l,t
-262.35,81,0.040994
-145.25,88,0.190006
-219.8,66,0.296001
-257.1,69,0.391
-224.05,68,0.502002
-278.35,90,0.644004
-308.9,98,0.795
-343.3,89,0.909999
-214.45,83,1.033999
-180.9,88,1.150001
-127.2,83,1.321111
-241.25,82,1.444156
-133.7,91,1.594159
14.85,77,1.698151
7.55,79,1.810157
-113.8,86,1.93116
-77.15,74,2.047156
-76.4,86,2.159154
13.6,102,2.286152
26.0,90,2.427157
80.3,86,2.558153
36.25,82,2.678155
-57.8,74,2.776155
-20.35,96,2.909205
86.75,85,3.044156
199.45,80,3.154162
54.6,82,3.258155
131.25,66,3.349161
132.4,68,3.485153
132.8,96,3.623156
153.55,75,3.736156
180.4,85,3.865155
199.45,76,3.995157
228.2,66,4.087155
131.2,72,4.187158
233.45,81,4.314159
301.4,73,4.446687
84.05,79,4.691687
216.4,112,4.859687
176.05,72,4.967684
270.8,74,5.095685
147.5,70,5.211683
216.45,76,5.319694
242.05,80,5.440684
195.25,74,5.570687
288.5,88,5.708685
273.15,75,5.836686
266.0,73,5.951687
229.6,85,6.088704
403.0,58,6.181687
295.9,76,6.298687
456.55,82,6.439687
421.35,83,6.580682
334.3,87,6.707687
354.2,75,6.817683
363.75,85,6.965689
400.75,64,7.084686
407.05,82,7.212687
459.3,88,7.363314
401.0,69,7.495523
461.15,87,7.638525
486.0,101,7.790525
467.35,75,7.914522
466.7,85,8.052522
469.55,68,8.172521
433.35,60,8.268522
462.55,79,8.399527
456.0,82,8.554518
461.0,71,8.680521
498.7,92,8.834519
469.55,87,8.970522
392.65,69,9.088519
487.0,81,9.235522
462.45,77,9.362527
467.75,80,9.499522
469.0,77,9.629523
490.45,60,9.743525
473.5,63,9.844526
437.4,93,10.001523
442.4,69,10.117521
453.05,92,10.413517
449.0,67,10.536052
449.75,95,10.694054
440.75,74,10.811055
487.0,79,10.960051
419.0,78,11.098056
487.0,82,11.226052
447.3,63,11.321052
490.8,73,11.455051
499.35,87,11.604056
469.4,68,11.726054
472.7,103,11.890057
460.0,93,12.054054
393.7,69,12.179053
457.9,101,12.328052
433.7,77,12.452047
455.7,77,12.597054
495.7,83,12.737056
499.35,111,12.916051
441.7,93,13.059054
490.45,78,13.209051
487.0,88,13.363061
456.0,79,13.493762
490.8,79,13.613767
470.05,78,13.73876
486.95,85,13.895765
428.75,74,14.014765
455.35,80,14.130764
476.15,80,14.279763
446.45,91,14.438762
477.45,58,14.535769
487.0,98,14.706759
469.05,98,14.882767
401.65,75,15.006762
454.25,72,15.115762
469.55,72,15.233764
435.0,76,15.374765
460.3,96,15.522764
427.0,102,15.683763
468.9,82,15.877767
439.0,101,16.280766
467.9,80,16.487765
427.0,72,16.634294
449.45,72,16.776293
419.2,78,16.931294
481.35,80,17.066298
489.15,94,17.207294
489.15,77,17.34029
445.95,87,17.505292
487.0,66,17.616293
500.0,84,17.756294
487.0,84,17.890298
463.75,74,18.022292
463.9,91,18.162294
491.25,84,18.299295
487.0,75,18.413294
487.0,93,18.582297
477.95,53,18.665294
477.95,52,18.768294
444.55,73,18.893295
469.0,78,19.032298
436.0,85,19.165298
482.0,86,19.304293
487.0,89,19.459993
486.65,69,19.580998
457.8,95,19.733008
438.3,82,19.870998
494.9,55,19.967989
466.65,100,20.147993
433.3,65,20.25499
462.05,81,20.401994
366.45,70,20.517989
468.1,84,20.673994
436.2,79,20.813996
440.2,64,20.909994
392.0,82,21.036995
441.2,82,21.179994
442.55,64,21.288997
461.1,96,21.458992
466.75,73,21.565994
450.1,66,21.689994
449.55,73,21.817994
486.2,79,21.959994
469.0,98,22.115993
500.0,96,22.433993
499.35,105,22.60752
468.0,99,22.764523
480.0,78,22.894527
464.25,86,23.052524
415.85,88,23.183523
476.8,56,23.284525
486.65,80,23.420526
447.15,82,23.570521
426.3,97,23.726525
463.4,98,23.899522
448.45,95,24.060542
430.45,72,24.183528
487.0,93,24.34052
433.05,80,24.496525
446.75,80,24.618526
498.7,92,24.78652
495.55,106,24.970525
482.0,71,25.088525
471.7,77,25.21252
476.75,81,25.365746
435.0,73,25.51086
495.4,77,25.62586
430.4,62,25.723859
485.05,72,25.847863
447.0,72,25.973867
477.75,76,26.110863
428.25,97,26.260861
478.1,64,26.381863
455.5,69,26.50186
438.1,89,26.652873
438.6,78,26.770859
481.9,65,26.89786
473.1,63,26.997859
500.0,72,27.128861
462.4,89,27.265864
466.05,81,27.433859
473.5,99,27.596859
482.0,68,27.699856
463.55,65,27.790864
463.1,91,28.070859
460.15,88,28.262859
397.05,82,28.388865
458.8,91,28.535399
463.35,66,28.670392
476.45,88,28.81239
466.95,89,28.958389
487.0,82,29.086399
469.0,115,29.291392
439.4,71,29.413392
475.55,74,29.533388
482.4,93,29.696392
499.35,71,29.826396
467.7,85,29.972393
412.05,96,30.121393
457.45,82,30.2614
461.85,82,30.407402
447.0,99,30.579392
460.15,85,30.732393
474.3,69,30.844395
453.6,83,30.98739
433.45,76,31.111395
450.8,82,31.255391
472.35,85,31.389531
500.0,80,31.537343
467.0,95,31.698345
500.0,88,31.836346
364.35,65,31.943345
478.1,77,32.079344
477.45,83,32.223343
469.4,87,32.354346
473.65,72,32.469347
500.0,83,32.610343
474.0,73,32.727345
461.45,76,32.849343
427.8,79,32.976344
426.5,90,33.124344
466.05,74,33.246341
453.1,66,33.350343
453.8,97,33.500347
477.4,89,33.661347
423.5,76,33.798342
482.4,66,33.911344
495.55,85,34.186338
443.2,62,34.34034
459.45,84,34.606815
450.4,94,34.816814
482.55,96,35.030817
448.7,65,35.194814
449.0,69,35.346813
482.0,71,35.515814
476.45,73,35.674812
430.1,87,35.882815
463.4,76,36.050816
462.85,77,36.231815
453.85,83,36.366815
499.35,101,36.573822
466.7,65,36.695817
450.0,92,36.828821
481.1,87,36.958817
440.1,65,37.082818
473.65,84,37.228821
445.1,84,37.358817
500.0,83,37.506842
474.0,78,37.658836
420.75,82,37.795841
464.0,94,37.939841
487.0,88,38.079844
495.4,60,38.194844
451.4,78,38.325845
440.7,71,38.451841
478.1,55,38.539845
388.8,73,38.687845
462.7,87,38.816845
451.75,56,38.919837
464.6,79,39.04884
409.1,62,39.16484
498.7,100,39.326842
482.55,70,39.453843
488.5,92,39.597838
414.3,93,39.926844
462.2,90,40.090847
462.4,74,40.211838
500.0,103,40.40284
498.7,88,40.580364
454.7,78,40.70836
449.1,79,40.839355
450.4,75,40.958363
465.7,81,41.10236
474.8,78,41.230357
500.0,98,41.391362
440.3,78,41.52736
424.8,80,41.66336
457.4,69,41.799361
478.7,92,41.938361
448.0,75,42.06636
474.0,91,42.238363
495.4,76,42.36336
480.7,87,42.501356
449.0,87,42.637361
464.8,83,42.791359
427.5,73,42.91836
436.2,105,43.08136
477.8,65,43.185361
472.0,78,43.334366
424.0,62,43.443462
483.4,84,43.589523
489.8,83,43.717517
460.1,90,43.897511
486.65,69,44.00252
473.35,83,44.144516
495.4,100,44.300513
441.75,77,44.448516
482.4,56,44.536519
463.1,87,44.677515
480.6,76,44.795518
450.0,72,44.934517
458.7,76,45.05552
500.0,79,45.177515
467.0,64,45.283522
450.75,79,45.429515
459.4,93,45.583516
454.65,99,45.745518
430.4,70,45.86652
500.0,69,46.136513
477.45,85,46.280515
397.45,81,46.412518
440.05,81,46.548521
488.2,100,46.799031
482.0,81,46.965028
472.0,81,47.148033
460.4,95,47.35403
402.35,79,47.574033
422.4,82,47.730032
436.1,55,47.852031
351.8,78,48.020036
480.25,87,48.214031
477.75,81,48.404033
485.05,79,48.582032
455.0,83,48.758031
438.4,81,48.953033
450.45,68,49.103029
442.0,90,49.287045
485.05,82,49.468084
500.0,76,49.657136
433.05,74,49.809134
456.0,95,50.001134
423.95,71,50.140133
475.15,84,50.340132
474.0,84,50.523135
468.0,79,50.683136
481.4,108,50.900139
464.95,82,51.101135
473.1,66,51.243131
500.0,94,51.44214
490.95,73,51.597137
500.0,75,51.784138
469.0,91,51.950133
432.45,93,52.133133
418.65,77,52.284133
487.0,90,52.647659
451.4,73,52.790653
487.0,92,52.979663
