#{"t_start": 1784915568.0517201, "env_id": "None"}
r,l,t
-288.85,73,43.596116
-249.75,96,43.859411
-192.4,77,44.008409
-230.15,84,44.237414
-167.05,75,44.50141
-215.8,84,44.781411
-134.6,96,44.973412
-326.05,102,45.223409
-97.05,75,45.428411
-202.2,78,45.567753
-153.3,118,45.836753
-226.6,92,46.035759
-175.65,84,46.233752
-134.5,75,46.361752
-113.75,86,46.497749
-39.05,96,46.672751
-93.7,72,46.807751
-84.3,106,46.988749
17.45,81,47.180756
-47.25,99,47.421753
-119.05,89,47.661752
124.35,73,47.79475
39.15,79,47.933752
-85.55,86,48.155754
28.55,81,48.351749
106.4,94,48.535983
-46.05,102,48.739982
10.45,84,48.89098
27.05,84,49.216983
-52.05,90,49.359982
-44.35,85,49.528981
79.8,88,49.723988
-10.45,97,49.940983
5.35,105,50.11298
241.1,82,50.265983
245.2,96,50.459982
180.65,99,50.661983
226.65,96,50.839982
322.15,81,50.981981
294.0,78,51.130981
298.6,100,51.356981
207.35,81,51.507981
157.65,84,51.645499
223.1,73,51.795497
233.75,96,52.028499
319.05,76,52.171499
290.35,91,52.357499
372.4,80,52.535497
333.95,96,52.734501
439.05,86,52.886498
428.8,76,53.028499
448.4,74,53.176499
354.8,66,53.3325
412.9,61,53.444498
430.2,67,53.583499
438.15,83,53.738514
394.05,70,53.8925
423.2,80,54.100502
472.8,99,54.39664
351.0,88,54.739711
462.5,72,55.016711
486.65,73,55.233708
463.45,99,55.570712
440.3,79,55.81971
471.7,83,56.083711
479.95,66,56.249712
473.35,69,56.480711
431.55,67,56.70871
457.05,79,56.952706
427.7,61,57.124711
485.7,73,57.619203
446.0,69,57.786207
437.5,72,57.996201
474.0,99,58.395208
434.0,69,58.565202
487.0,92,58.781202
462.75,82,58.977203
486.35,79,59.147201
499.35,82,59.304206
476.75,76,59.490203
438.4,68,59.674202
457.05,90,59.8412
468.0,80,59.992208
482.05,77,60.186206
449.75,74,60.376204
495.4,79,60.54636
494.25,124,60.808358
411.4,70,61.01236
459.35,99,61.266361
440.7,93,61.44536
406.25,67,61.57336
454.2,82,61.758358
459.2,80,61.95336
493.45,71,62.144359
485.7,84,62.357363
459.0,77,62.548358
479.3,79,62.753361
437.0,94,62.982359
500.0,71,63.16736
459.95,69,63.31136
463.4,100,63.549361
425.0,77,63.708883
500.0,77,63.84288
468.65,80,64.003881
417.3,75,64.181882
465.1,68,64.305881
430.95,95,64.488881
500.0,89,64.648884
455.0,72,64.807881
485.55,66,64.940883
480.05,71,65.070882
487.0,89,65.246885
464.55,84,65.408881
497.4,84,65.588882
477.8,81,65.755883
401.65,85,65.904881
476.45,76,66.076884
486.65,69,66.223882
458.25,83,66.411884
466.5,80,66.591012
486.35,77,66.777011
455.2,99,66.977012
491.1,81,67.125011
476.65,74,67.278013
495.85,85,67.446011
460.7,71,67.592011
495.4,96,67.786011
426.35,95,67.951012
467.4,75,68.280012
493.6,70,68.409011
423.65,81,68.565012
499.35,88,68.725014
433.4,100,68.949012
442.65,67,69.086012
466.65,68,69.238015
487.0,64,69.403013
452.85,95,69.769436
485.7,88,69.956436
462.0,68,70.13044
499.35,81,70.336434
466.95,63,70.527441
477.4,66,70.677437
449.5,85,70.869436
410.25,66,71.007438
442.5,66,71.201435
453.05,69,71.447435
422.7,80,71.627436
481.8,69,71.760433
431.55,90,71.959432
454.0,88,72.18645
472.8,61,72.323434
421.0,89,72.486044
412.55,91,72.703099
457.1,75,72.855098
445.2,85,73.0231
462.2,75,73.180102
495.55,88,73.383101
465.1,94,73.555099
451.2,86,73.717102
477.55,72,73.856101
470.75,81,74.0301
432.75,75,74.188103
454.55,107,74.3961
430.85,78,74.543101
456.35,81,74.7361
417.85,79,74.905104
500.0,87,75.061106
464.4,86,75.234104
464.2,85,75.421104
451.4,58,75.536099
500.0,68,75.674626
454.1,87,75.821624
451.55,84,75.997625
473.35,83,76.162623
441.95,88,76.321625
494.1,58,76.442625
433.55,87,76.608625
482.4,84,76.789624
472.7,71,76.937626
449.1,80,77.075624
490.95,81,77.255626
482.0,75,77.412625
462.55,76,77.547626
482.85,75,77.696625
483.75,78,77.849624
445.45,80,78.016627
491.1,68,78.146625
477.95,80,78.292624
410.85,85,78.630264
458.1,66,78.752267
498.7,77,78.886266
467.9,67,79.019268
495.4,81,79.208266
468.0,77,79.350265
431.1,84,79.525264
460.6,92,79.713265
463.35,99,79.938271
455.0,67,80.079271
427.75,91,80.283267
487.0,82,80.449265
482.55,69,80.609264
472.8,73,80.745265
482.35,87,80.901266
479.35,71,81.040265
451.75,89,81.224264
441.55,76,81.366268
466.7,69,81.511265
418.95,60,81.618269
436.85,66,81.762539
456.8,71,81.897543
465.05,82,82.066543
421.5,84,82.253539
437.9,80,82.413539
486.35,91,82.607539
487.0,82,82.763539
483.75,91,82.921539
480.05,85,83.12554
463.9,77,83.281539
432.7,73,83.42854
453.7,91,83.614538
445.3,90,83.804541
439.4,69,83.92854
481.35,70,84.06254
407.4,73,84.199543
482.55,63,84.389538
466.15,90,84.629645
454.5,72,84.778649
433.05,65,84.905644
487.0,78,85.092648
349.9,90,85.251647
475.6,81,85.409644
461.85,68,85.531648
439.05,71,85.690645
441.65,84,85.858644
450.3,87,86.011645
480.7,83,86.170645
474.0,100,86.383645
466.8,77,86.567647
486.8,75,86.846644
495.4,76,86.983647
449.7,79,87.152646
498.05,82,87.321647
451.55,75,87.585646
500.0,80,87.732076
485.35,101,87.954081
499.35,80,88.114077
450.75,86,88.262078
482.4,103,88.458075
470.45,71,88.629078
455.9,82,88.775078
477.4,83,88.945077
476.65,96,89.124077
459.55,71,89.273078
484.4,94,89.454076
389.3,80,89.618078
463.35,82,89.774076
472.65,76,89.937077
397.1,97,90.127079
485.05,69,90.253077
449.05,78,90.408077
494.1,84,90.586204
473.15,74,90.737198
482.05,86,90.911226
432.75,93,91.0802
464.4,71,91.245201
461.45,75,91.398199
446.4,74,91.531201
464.4,67,91.6642
410.9,92,91.8392
427.45,71,91.9862
473.1,81,92.1422
443.5,71,92.272201
498.7,65,92.4232
484.4,93,92.618202
449.85,57,92.754203
415.95,70,92.907202
464.2,79,93.083207
482.4,70,93.242199
408.3,75,93.383205
478.75,84,93.551201
472.65,63,93.700721
469.4,82,93.83872
475.65,75,94.00472
421.7,89,94.15772
433.95,93,94.35972
445.8,63,94.50372
422.3,91,94.66772
407.95,79,94.840719
499.35,63,94.996721
483.1,81,95.14972
455.85,101,95.355719
492.15,77,95.50472
437.2,103,95.732721
435.45,65,95.850719
454.0,87,96.013717
490.45,77,96.14972
495.4,66,96.30872
480.6,73,96.446721
419.4,81,96.603302
467.0,95,96.781826
473.5,88,96.955829
456.4,89,97.130826
500.0,75,97.27984
486.65,84,97.439827
424.65,80,97.80783
482.2,57,97.945827
473.2,87,98.124827
480.0,91,98.307826
422.35,106,98.53883
487.0,77,98.680827
414.2,61,98.810827
455.65,76,98.942827
416.5,93,99.145829
440.75,78,99.303825
399.75,73,99.436827
469.05,83,100.020275
431.55,78,100.203278
469.4,86,100.371278
477.9,81,100.541278
459.1,83,100.686277
428.0,84,100.882281
441.35,71,101.011278
473.0,84,101.205277
455.4,78,101.361277
447.8,78,101.535281
439.0,63,101.679291
487.0,72,101.827278
465.1,79,101.97028
462.55,70,102.133279
436.65,77,102.298278
449.6,84,102.461277
459.2,64,102.591312
463.4,79,102.758369
470.2,87,102.933368
446.65,77,103.095369
442.5,62,103.215369
444.8,86,103.40037
448.75,83,103.559375
482.0,98,103.74837
459.1,73,103.890369
458.0,81,104.05537
435.55,82,104.217374
440.55,73,104.371371
474.85,95,104.53837
423.35,81,104.724371
447.0,68,104.877369
479.35,72,105.014372
476.75,72,105.15537
446.65,84,105.317371
489.15,70,105.459376
457.15,75,105.604371
476.0,77,105.739877
487.0,94,105.937889
477.45,74,106.066886
453.15,89,106.241889
473.65,83,106.424889
403.45,100,106.67489
465.25,93,106.914892
451.1,94,107.093888
468.0,67,107.232888
456.0,94,107.436889
486.65,76,107.576888
476.45,88,107.746889
471.15,88,107.909888
436.35,83,108.229889
468.0,78,108.37189
490.8,91,108.552891
465.1,70,108.693939
487.0,86,108.875936
500.0,79,109.038938
469.4,81,109.22894
487.0,72,109.468938
442.0,80,109.652937
473.65,76,109.820938
474.8,78,109.96994
415.45,73,110.097943
463.1,80,110.264936
480.0,79,110.413938
480.0,93,110.594937
469.4,94,110.769936
450.55,60,110.892939
461.7,68,111.025936
427.7,74,111.159937
467.0,77,111.310936
456.15,73,111.463939
407.7,81,111.619935
495.4,85,111.78646
495.85,74,111.915458
472.0,68,112.06546
406.2,81,112.235461
486.5,78,112.370461
485.05,113,112.581461
494.8,71,112.733462
425.6,78,112.882458
482.7,89,113.046457
441.2,73,113.170459
486.9,75,113.344458
480.0,94,113.518468
454.0,77,113.658459
438.75,79,113.821484
451.1,85,113.99446
402.25,85,114.158459
480.6,75,114.316463
409.4,66,114.431458
487.6,93,114.635609
467.05,75,114.781659
422.5,80,114.951658
469.6,81,115.104656
432.6,70,115.245659
439.75,100,115.445659
476.1,93,115.61966
454.35,98,115.795659
456.0,71,115.970654
480.0,93,116.151659
459.0,84,116.300662
448.0,87,116.46966
465.65,70,116.62766
429.0,65,116.754654
455.0,78,116.905658
476.05,88,117.066658
441.35,79,117.227658
449.45,92,117.405659
474.0,78,117.554659
444.1,77,117.703658
474.0,65,117.834201
472.7,76,117.987199
445.4,92,118.166196
445.1,83,118.312197
411.0,86,118.659197
482.4,75,118.797198
482.85,77,118.954196
439.9,75,119.081198
437.55,86,119.282197
463.1,73,119.439198
402.2,72,119.566196
490.8,91,119.759197
490.8,69,119.922195
450.15,94,120.091197
428.4,67,120.228196
475.4,69,120.353196
479.3,71,120.563193
473.35,90,120.842357
500.0,90,121.070356
500.0,80,121.265356
372.0,70,121.451359
482.4,120,121.688355
487.0,75,121.832356
498.05,100,122.023356
495.4,72,122.188358
444.55,80,122.341355
437.0,73,122.491355
495.4,80,122.630355
480.0,58,122.778356
441.45,71,122.914355
500.0,86,123.084358
456.4,68,123.210355
465.5,85,123.388355
476.75,80,123.552359
453.7,72,123.697355
464.4,85,123.848789
482.0,82,124.035788
451.4,79,124.177789
474.0,71,124.320788
435.4,81,124.478788
403.0,91,124.661794
497.4,95,124.861789
436.7,73,125.015789
456.0,69,125.132789
451.8,76,125.296788
474.0,84,125.452792
462.1,86,125.62379
456.0,72,125.764788
469.4,92,125.94279
456.4,82,126.111789
399.15,81,126.273788
466.4,88,126.426792
452.1,110,126.652793
433.95,73,126.79592
445.65,111,126.99192
482.4,91,127.16592
414.3,95,127.36592
486.35,85,127.52992
438.95,80,127.67692
469.0,84,127.834925
482.0,102,128.063921
371.0,89,128.226919
469.0,104,128.42292
452.1,85,128.58792
459.1,65,128.742921
451.45,73,128.89492
437.4,89,129.069923
396.05,81,129.211919
489.15,60,129.470922
441.0,77,129.611919
433.0,88,129.774919
387.0,90,129.953415
471.4,80,130.129416
469.5,84,130.288415
487.0,67,130.413415
454.2,98,130.632414
446.35,55,130.750426
452.6,90,130.939417
469.45,66,131.074417
487.0,72,131.206417
481.15,73,131.377416
382.35,81,131.522417
428.85,77,131.669418
432.1,79,131.809416
456.0,69,131.987417
436.75,78,132.156416
429.0,101,132.344415
469.4,77,132.488417
448.0,81,132.667418
446.2,77,132.809594
482.0,82,132.973594
456.0,73,133.120596
455.75,79,133.270594
471.4,71,133.427594
487.0,84,133.580595
290.9,108,133.783595
466.95,76,133.972595
364.35,58,134.090593
442.75,100,134.281594
461.0,95,134.459593
442.75,84,134.646595
500.0,75,134.786594
454.0,89,134.952595
438.15,71,135.089596
461.0,88,135.274593
486.2,99,135.459594
479.35,69,135.592595
436.8,71,135.733597
499.35,99,135.943072
424.8,69,136.069088
456.0,86,136.234074
500.0,78,136.371074
474.0,90,136.567071
469.4,88,136.759072
480.6,80,136.913071
416.05,98,137.084071
452.65,68,137.250072
405.1,95,137.432073
416.8,66,137.548072
461.8,67,137.681072
447.1,89,137.853075
402.35,75,138.001072
447.15,86,138.150072
436.4,108,138.362072
451.55,64,138.513079
459.85,74,138.653079
493.6,70,138.798222
442.0,87,138.965222
456.4,60,139.094222
473.2,69,139.245227
457.25,87,139.406223
449.8,72,139.545223
408.75,83,139.855223
427.15,79,140.01122
395.65,69,140.13422
454.0,77,140.296222
324.6,93,140.513222
418.25,88,140.670229
491.5,70,140.805223
460.65,85,140.972225
487.0,76,141.141227
398.2,81,141.316224
404.4,77,141.471235
414.4,82,141.611222
417.45,70,141.76824
407.0,90,141.932752
424.55,87,142.100753
426.5,97,142.285758
469.0,62,142.415754
437.6,83,142.581752
415.05,83,142.725753
441.25,71,142.862753
441.05,78,143.023759
472.05,66,143.163753
398.6,75,143.315752
456.45,67,143.433752
338.0,76,143.607753
414.05,83,143.754754
434.65,76,143.909752
481.1,74,144.058753
443.6,89,144.236754
401.85,124,144.479754
395.55,116,144.699752
344.95,200,145.098891
402.75,125,145.366892
421.55,103,145.549891
402.85,76,145.699889
366.1,133,145.943891
387.15,123,146.216892
316.15,157,146.504889
419.6,82,146.661889
442.25,79,146.799895
416.55,119,147.036894
377.25,69,147.17289
386.55,103,147.37689
404.5,94,147.544889
433.5,75,147.703891
369.15,107,147.914411
402.15,73,148.039412
328.4,158,148.33041
358.95,97,148.543409
418.1,84,148.70541
430.3,90,148.88441
349.55,79,149.020412
412.65,84,149.213411
333.75,108,149.43441
411.25,98,149.60841
