#{"t_start": 1785073681.5877676, "env_id": "None"}
r,l,t
-119.7,80,0.239998
-152.2,75,0.439001
-161.35,76,0.659997
-174.25,95,0.908997
-132.6,92,1.172999
-76.25,84,1.424
-244.3,79,1.644998
-207.7,85,1.868998
38.05,70,2.051997
-37.45,91,2.294996
26.8,85,2.521119
-74.5,78,2.72712
51.4,94,2.99212
122.3,90,3.232119
6.3,96,3.494117
129.15,96,3.775119
105.1,84,3.987117
137.3,64,4.307118
197.85,89,4.544118
179.4,64,4.718119
186.65,57,4.871119
252.0,90,5.10712
221.5,84,5.327119
300.7,89,5.570336
228.15,73,5.774334
270.65,70,6.026337
210.9,76,6.259335
232.2,67,6.448334
227.85,84,6.679334
280.35,81,6.891335
200.3,99,7.170334
271.75,68,7.348341
241.85,101,7.624334
274.45,105,7.90234
299.7,94,8.148334
305.6,68,8.326335
275.35,81,8.563457
189.9,97,8.831453
311.05,77,9.029447
291.2,81,9.250446
206.6,81,9.465455
271.95,78,9.674448
355.6,108,9.978447
361.25,84,10.197447
294.45,80,10.414447
307.7,110,10.69645
275.7,74,10.893455
229.5,68,11.072448
288.05,77,11.304447
316.55,84,11.535943
339.05,77,11.746944
420.7,81,11.969944
354.7,80,12.178943
417.7,67,12.353943
396.0,62,12.635943
363.45,73,12.839942
386.95,73,13.037943
391.55,63,13.200943
353.8,71,13.395941
332.5,85,13.622943
411.65,84,13.844943
404.2,77,14.066943
449.55,53,14.202942
424.45,79,14.414176
417.4,80,14.623239
412.8,65,14.806241
409.0,76,15.015239
399.8,81,15.22624
409.0,88,15.482247
409.0,94,15.729239
461.0,110,16.014241
330.1,75,16.218241
391.55,74,16.414241
368.15,77,16.62024
425.95,82,16.851241
399.6,75,17.050241
443.55,74,17.24424
409.0,93,17.49424
448.0,76,17.695777
387.1,95,17.947783
348.1,67,18.145777
451.8,94,18.387777
383.0,83,18.610776
409.0,83,18.828777
434.65,78,19.037776
448.0,66,19.210777
447.35,70,19.418777
448.0,77,19.622776
455.1,86,19.863791
461.0,69,20.044775
478.1,64,20.214778
426.1,80,20.426819
430.2,80,20.636867
482.4,91,20.907866
456.55,64,21.070867
365.55,74,21.391865
456.55,79,21.622869
396.0,83,21.855866
408.2,82,22.070867
469.05,55,22.240871
438.75,80,22.452867
469.4,69,22.635868
435.0,54,22.783868
456.55,70,22.973867
425.45,72,23.165881
474.0,76,23.378866
474.0,76,23.592387
417.4,75,23.786388
442.9,76,23.990389
416.5,79,24.191388
482.55,83,24.427388
487.0,83,24.654388
474.0,89,24.884387
404.2,77,25.113388
473.5,81,25.323388
409.0,72,25.51439
500.0,92,25.769389
443.55,85,26.000386
461.0,104,26.288389
500.0,88,26.521493
434.5,61,26.683499
421.65,73,26.877493
482.4,72,27.068494
487.0,69,27.265493
412.8,90,27.498493
487.0,116,27.825493
487.0,79,28.031497
474.0,74,28.236495
500.0,85,28.462496
443.05,78,28.668494
469.4,91,28.900494
469.4,81,29.129498
420.8,65,29.306493
487.0,114,29.62202
381.95,63,29.784029
396.0,79,29.996019
469.4,95,30.24502
400.1,95,30.634018
461.0,91,30.869033
469.4,86,31.100022
482.55,78,31.309019
417.55,71,31.50702
478.1,81,31.728018
491.1,64,31.916019
495.4,81,32.131019
442.85,79,32.34402
456.55,66,32.525934
461.0,80,32.739933
487.0,88,32.973934
360.6,93,33.258934
422.0,85,33.486934
478.1,82,33.702934
474.0,83,33.929934
500.0,80,34.149938
495.55,77,34.350937
473.65,80,34.586936
465.1,68,34.771934
460.65,79,34.987936
469.4,82,35.201934
460.3,70,35.395937
464.75,94,35.652351
464.95,86,35.90035
487.0,73,36.123349
474.0,73,36.314351
474.0,78,36.535351
460.35,90,36.79135
451.75,75,36.99035
495.4,87,37.22135
464.8,74,37.432351
487.0,75,37.626352
500.0,95,37.88035
500.0,97,38.131353
473.3,82,38.363389
464.45,71,38.550489
447.2,91,38.82149
434.2,84,39.047491
491.1,78,39.39549
464.75,70,39.589497
500.0,72,39.781491
482.2,89,40.015494
491.1,74,40.224491
495.4,75,40.430493
482.4,93,40.667495
468.85,68,40.849493
464.75,96,41.111491
477.75,82,41.334496
456.55,73,41.566493
500.0,68,41.75701
500.0,85,41.978014
490.8,80,42.194013
468.9,78,42.404011
486.2,81,42.613012
500.0,75,42.819014
464.75,74,43.079011
482.55,93,43.334017
486.65,68,43.517015
487.0,86,43.74701
474.0,72,43.937013
495.4,83,44.158011
460.65,95,44.429011
482.55,70,44.622423
482.55,77,44.825423
482.4,94,45.077422
469.4,68,45.26343
469.55,84,45.488422
460.35,84,45.730422
487.0,86,45.954423
495.4,59,46.113423
500.0,85,46.339421
500.0,87,46.580423
495.4,74,46.788423
500.0,84,47.080426
500.0,98,47.431421
482.05,87,47.692914
500.0,95,47.971913
500.0,91,48.343911
495.55,84,48.578911
477.75,82,48.80991
473.65,87,49.04091
491.1,76,49.236914
495.4,66,49.414912
455.35,67,49.606912
433.25,70,49.797911
487.0,90,50.045911
477.6,89,50.292912
293.4,70,50.478442
409.0,78,50.68505
434.35,103,50.966052
469.2,93,51.209271
473.3,78,51.440051
468.85,87,51.674051
473.3,84,51.891055
482.55,71,52.080051
500.0,86,52.312053
473.3,64,52.492052
495.4,93,52.742054
477.75,80,52.977057
500.0,79,53.187052
486.2,66,53.359051
