#{"t_start": 1784973515.0908165, "env_id": "None"}
r,l,t
-302.3,90,0.279014
-258.35,83,0.563015
-158.95,83,0.815004
-121.05,66,1.009008
-32.75,81,1.231001
181.1,81,1.438997
-19.5,77,1.667996
-31.55,100,1.935998
-146.5,77,2.206998
-111.25,80,2.449476
-99.55,81,2.645475
-181.0,62,2.808493
-96.15,90,3.08548
-49.9,81,3.292491
-78.0,90,3.531494
44.8,67,3.712481
-13.05,77,3.917488
-40.3,103,4.323482
4.85,75,4.522487
114.65,89,4.942491
75.55,87,5.187825
45.1,90,5.42789
-3.85,89,5.657891
76.0,77,5.869885
160.4,95,6.238879
59.4,79,6.528878
243.4,98,6.810874
176.6,91,7.068873
184.2,83,7.289876
88.45,85,7.608878
116.1,75,7.889876
125.85,77,8.106876
175.4,80,8.321879
180.7,94,8.589382
150.55,101,8.840382
113.95,99,9.135383
208.05,80,9.354382
195.0,72,9.528377
278.35,66,9.697377
257.75,76,9.896392
199.0,78,10.09938
224.4,73,10.297378
187.2,69,10.50938
240.3,77,10.695387
203.95,78,10.883387
247.65,86,11.122376
227.45,67,11.344556
114.05,95,11.684549
228.55,61,11.860559
274.0,76,12.061549
232.1,85,12.288561
272.0,74,12.475553
203.3,73,12.662553
290.8,63,12.821551
283.05,78,13.009566
283.1,77,13.238549
193.4,76,13.475555
210.4,77,13.769552
270.0,79,14.076554
269.85,81,14.36156
274.55,91,14.673864
349.95,83,14.958868
255.9,67,15.190865
247.25,78,15.435874
323.2,85,15.690869
296.25,86,15.984882
319.5,70,16.259868
342.55,89,16.594869
340.75,89,16.946867
288.1,74,17.207864
215.55,95,17.535556
396.0,80,17.827567
314.6,72,18.128558
264.7,74,18.417557
295.1,71,18.679564
378.4,81,19.086565
375.7,74,19.376564
396.0,85,19.663555
378.7,91,19.979557
408.65,70,20.236564
357.0,87,20.547977
408.5,78,20.803973
365.55,82,21.077976
300.4,76,21.323974
391.0,78,21.582991
326.55,86,21.854974
355.0,80,22.092991
312.8,83,22.308986
408.65,77,22.510979
383.0,90,22.754978
393.4,99,23.022978
309.25,97,23.285057
382.3,88,23.554118
408.5,94,23.788121
413.0,87,24.011111
395.65,110,24.32011
426.1,93,24.552122
409.0,101,24.824111
439.1,70,25.023106
308.1,89,25.236118
357.0,84,25.459107
487.0,87,25.69011
448.0,65,25.861116
430.4,86,26.109121
367.4,72,26.299112
374.25,90,26.533651
409.0,92,26.94165
446.7,75,27.152654
413.25,93,27.37465
438.8,89,27.624649
391.55,66,27.800651
387.1,90,28.119654
351.35,78,28.40565
443.55,87,28.651665
439.1,94,28.929662
438.8,87,29.198667
391.4,81,29.441745
448.0,89,29.654756
435.0,79,29.861744
409.0,84,30.093765
391.4,94,30.351747
304.95,78,30.557749
395.65,76,30.762761
426.1,83,30.957762
409.0,82,31.171751
370.0,87,31.406749
474.0,83,31.610758
448.0,78,31.88175
439.1,70,32.06375
465.1,85,32.284758
426.25,77,32.493247
412.95,75,32.702241
400.1,73,32.904247
409.0,87,33.129242
400.1,77,33.352254
435.0,72,33.531257
434.3,75,33.724247
430.4,101,34.006242
461.0,93,34.256257
461.0,93,34.714243
461.0,84,34.940254
469.4,68,35.119255
386.95,93,35.364379
360.75,55,35.503395
409.0,88,35.735393
456.2,101,35.980419
474.0,81,36.223381
438.4,73,36.399376
456.55,88,36.63438
473.35,81,36.90739
416.7,89,37.153398
461.0,96,37.415378
474.0,85,37.656378
438.95,76,37.863384
430.55,73,38.06339
435.0,72,38.259376
477.95,81,38.477848
448.0,77,38.664837
487.0,74,38.880846
439.1,79,39.103849
422.0,65,39.288839
456.4,79,39.497848
425.75,70,39.686848
474.0,83,39.917838
455.1,88,40.15784
474.0,90,40.400848
465.1,70,40.580835
477.8,84,40.787848
460.65,81,41.016838
421.65,78,41.229846
434.65,85,41.464559
482.55,68,41.773562
487.0,80,42.039567
465.1,73,42.231565
456.55,83,42.455559
486.5,102,42.709555
474.0,76,42.906562
474.0,95,43.184565
473.65,90,43.423567
455.9,67,43.595555
469.4,78,43.793557
500.0,75,44.014566
487.0,82,44.235554
468.55,85,44.53207
473.65,82,44.733077
477.75,61,44.897077
500.0,83,45.108077
482.7,79,45.329077
477.8,56,45.468064
473.65,75,45.661066
461.0,85,45.909065
451.6,82,46.132067
446.95,80,46.343065
482.4,82,46.549084
491.1,81,46.757062
478.1,77,46.99406
452.1,80,47.234062
469.55,74,47.418462
487.0,98,47.662452
495.55,73,47.856454
456.4,71,48.069461
474.0,95,48.319465
473.3,94,48.598467
451.9,79,48.796454
460.95,74,48.994451
487.0,77,49.19646
434.65,89,49.557454
430.35,69,49.732455
456.55,80,49.956453
422.0,92,50.215452
500.0,76,50.411453
487.0,74,50.606999
478.1,85,50.833987
