#{"t_start": 1785073281.79461, "env_id": "None"}
r,l,t
-177.85,91,0.139004
-146.9,86,0.242996
-221.3,77,0.326003
-267.6,78,0.90415
-245.7,87,1.021145
-170.55,78,1.106138
-121.3,96,1.525146
-202.8,91,1.637145
-186.55,75,1.716147
-241.0,70,2.092136
-188.75,77,2.194147
-316.15,89,2.284142
-307.6,70,2.663142
-289.8,85,2.766142
-109.25,92,2.860143
-324.25,75,3.230148
-265.9,89,3.333142
-230.95,79,3.417138
-161.0,84,3.80961
-308.4,80,3.926612
-172.6,67,4.004607
-163.95,92,4.394607
-184.9,84,4.498616
-242.15,90,4.599609
-112.55,74,4.962615
-137.05,86,5.065615
-139.95,96,5.180619
-284.05,67,5.540616
-160.9,75,5.644616
-237.45,72,5.731613
-211.65,83,5.817616
-235.95,73,6.194609
-90.85,82,6.289617
-121.85,79,6.387614
-103.65,104,6.781207
-245.25,80,6.893205
-234.45,85,6.9872
-366.4,78,7.365206
-135.55,87,7.474208
-157.3,86,7.559206
-191.0,81,7.944204
-117.1,104,8.0762
-136.85,84,8.161206
-198.75,85,8.529203
14.35,63,8.616197
-257.65,68,8.697204
-145.95,64,8.767202
-204.75,82,9.168208
-95.95,98,9.281204
-96.6,79,9.800206
-151.05,86,9.903743
-186.3,85,9.998743
-172.95,86,10.382735
-152.95,80,10.474733
-158.45,76,10.581746
-172.4,95,10.682736
-138.1,87,11.057741
-160.35,95,11.177737
-344.25,84,11.554736
-123.8,98,11.685735
-52.4,92,11.789737
-280.5,88,12.194742
-39.75,107,12.312734
-325.55,84,12.405737
-81.3,92,12.805961
-106.8,76,12.894961
-168.9,92,12.993957
-182.9,82,13.382961
-61.15,90,13.489961
-144.7,92,13.585957
-119.7,73,13.97196
-232.2,78,14.05896
-267.85,72,14.141961
13.05,79,14.505961
-123.35,89,14.612957
-136.2,68,14.691961
-35.45,89,15.085961
-124.8,99,15.199961
-105.9,81,15.293959
-277.7,97,15.691956
-57.25,79,15.791956
-117.3,94,15.901493
-183.75,79,16.292502
-22.8,81,16.399498
-188.0,93,16.501496
99.7,90,16.892496
-58.5,66,16.977502
-258.6,77,17.064498
-177.35,82,17.435492
-45.9,64,17.517495
-41.05,80,17.615501
-102.5,75,17.692496
-125.5,65,18.066502
14.35,78,18.159502
-159.45,83,18.3365
-191.7,74,18.72374
-94.8,95,18.846269
10.95,78,18.935269
-76.8,90,19.324273
-272.1,79,19.421269
-120.4,103,19.538269
13.25,90,19.919269
-61.1,72,20.011273
-226.25,85,20.108274
0.9,64,20.478272
-40.55,76,20.574269
-59.25,94,20.683264
-97.45,77,20.764296
-4.9,76,21.144269
-21.8,85,21.252274
-65.95,83,21.334272
-4.1,92,21.731269
-63.4,87,21.842796
-75.3,81,21.926804
-12.55,80,22.306806
8.9,81,22.394801
-175.3,67,22.469796
-24.0,86,22.847798
-96.0,73,22.937806
17.35,96,23.043807
66.4,72,23.411801
-16.5,87,23.516802
-41.75,87,23.617796
-71.25,89,23.9948
224.4,69,24.088805
15.55,83,24.182801
88.8,76,24.555802
-26.25,86,24.661801
-32.0,107,24.780872
60.0,108,25.193866
79.45,70,25.280871
89.8,78,25.365871
43.0,74,25.74287
17.7,76,25.833876
2.5,79,25.922867
104.55,78,26.062873
71.7,95,26.646871
-3.0,71,26.793871
32.15,88,26.946873
30.45,91,27.580871
46.6,83,27.682867
15.05,89,27.788877
-24.25,93,28.231404
-30.1,73,28.313405
-37.05,94,28.707398
-107.05,89,28.809404
-54.4,88,28.905403
68.4,81,29.2904
21.3,82,29.383399
72.1,81,29.476404
60.0,93,29.855398
80.5,85,29.951399
-9.75,78,30.054395
141.3,86,30.141399
60.6,72,30.523398
174.0,72,30.6294
31.1,75,30.710872
61.85,99,31.119956
46.3,85,31.21895
18.35,79,31.302949
104.0,72,31.688956
-36.8,91,31.794946
115.95,66,31.872949
58.2,87,32.294957
-28.15,100,32.455952
29.8,84,32.564956
25.4,71,33.019949
100.15,96,33.181955
156.95,75,33.273954
33.15,92,33.760956
3.3,89,33.887449
16.45,83,33.99945
28.15,92,34.403453
-6.3,101,34.521452
93.0,85,34.611449
-55.55,83,34.985452
-25.2,89,35.098448
116.55,72,35.173447
130.2,75,35.593454
58.2,91,35.696449
76.45,83,35.788453
51.95,78,36.156454
38.85,68,36.25045
128.25,93,36.354453
173.9,70,36.866824
89.5,84,36.965824
81.15,89,37.06682
239.05,82,37.449818
117.8,63,37.522824
85.6,72,37.61082
3.05,76,37.689823
-48.0,71,38.052822
106.4,93,38.161824
122.25,72,38.263825
97.8,103,38.664822
107.3,90,38.776816
38.45,94,38.883822
17.75,79,39.268823
145.55,112,39.411814
18.95,82,39.496826
65.85,71,39.875794
118.5,86,39.988023
169.3,81,40.069024
58.9,77,40.447032
114.1,94,40.576028
38.25,68,40.650028
114.5,87,41.037029
71.5,90,41.140023
62.55,80,41.231031
106.3,90,41.644064
159.6,75,41.732029
36.8,88,41.825025
109.4,86,42.223033
34.05,96,42.336028
47.75,87,42.429028
126.0,94,42.817225
148.55,95,42.940218
170.15,66,43.015222
101.1,73,43.370219
107.1,80,43.466215
145.75,88,43.571225
73.2,111,43.988225
