#{"t_start": 1785071463.7120013, "env_id": "None"}
r,l,t
-222.3,90,0.209
-169.7,91,0.372997
-234.8,103,0.587023
-274.2,83,0.733028
-210.55,78,1.00403
-279.8,89,1.256034
-165.1,76,1.419037
-153.35,76,1.612026
-12.1,74,1.775029
-151.25,84,1.996026
-292.6,75,2.149025
-320.95,86,2.282026
-91.85,84,2.481025
-274.25,85,2.648026
-141.35,85,2.847028
-211.55,84,3.045033
-195.75,75,3.197027
-11.85,82,3.337025
-80.0,88,3.551027
-191.75,72,3.664026
-247.85,94,3.865544
-152.75,99,4.055544
-166.65,81,4.218546
-122.55,79,4.338547
-181.8,79,4.504546
-139.35,75,4.62756
-163.75,76,4.887559
-179.3,92,5.070544
-266.9,82,5.195562
-160.65,85,5.359572
-219.7,89,5.537546
-104.15,82,5.669559
-181.3,71,5.814546
-169.35,98,6.02555
-101.2,77,6.160563
-112.25,78,6.317546
-64.2,79,6.488547
-209.9,98,6.641677
-190.95,96,6.826678
-187.4,85,7.003676
-186.25,88,7.142675
-127.8,73,7.322677
-133.6,73,7.523675
-241.05,74,7.650675
-179.4,75,7.814677
-203.85,76,7.929676
-101.55,81,8.14368
-260.05,105,8.358685
-147.7,64,8.502678
-91.35,79,8.815678
-84.15,71,8.911677
-132.85,68,9.064678
-149.85,70,9.174687
-148.2,72,9.323676
-85.55,84,9.494689
-162.85,92,9.637676
-125.55,78,9.792191
-20.25,96,9.986211
-209.05,79,10.125205
-173.85,114,10.339192
-279.8,111,10.548191
-269.75,70,10.71719
-95.85,77,10.836191
14.55,79,11.004191
-180.85,83,11.186193
2.45,79,11.315191
-42.8,80,11.468191
-180.65,75,11.581192
13.0,65,11.72519
-180.45,69,11.831191
-72.95,94,12.016192
-77.7,83,12.35519
-57.55,80,12.472201
-191.0,97,12.672292
-235.0,66,12.821293
-134.2,75,12.937304
-114.45,96,13.128292
-135.45,89,13.303297
-73.2,102,13.502538
-115.55,90,13.638536
0.15,89,13.826539
-88.9,74,13.979535
-83.0,87,14.114533
-87.4,71,14.280537
-11.05,90,14.422535
-63.85,70,14.570535
-73.05,98,14.760536
-29.0,86,14.908535
-210.85,74,15.066533
-163.3,71,15.218549
-63.6,74,15.352535
-80.65,84,15.509534
-75.95,70,15.699534
-62.5,69,15.883933
-155.5,99,16.071933
-53.95,84,16.205936
-180.75,90,16.419938
